,Case Type,Count,Date,Province/State,State Abbr,Country/Region,Location Name,State Index,Total Pop,Income in the past 12 months below poverty level,"Below poverty level per 1,000 residents",Percent below poverty level,state,county
0,Deaths,3.0,3/4/2020,King County, WA,US,,,,,,,,
1,Deaths,0.0,3/4/2020,Snohomish County, WA,US,,,,,,,,
2,Deaths,0.0,1/22/2020,King County, WA,US,,,,,,,,
3,Deaths,0.0,1/22/2020,Snohomish County, WA,US,,,,,,,,
4,Deaths,0.0,1/23/2020,King County, WA,US,,,,,,,,
5,Deaths,0.0,1/23/2020,Snohomish County, WA,US,,,,,,,,
6,Deaths,0.0,1/24/2020,King County, WA,US,,,,,,,,
7,Deaths,0.0,1/24/2020,Snohomish County, WA,US,,,,,,,,
8,Deaths,0.0,1/25/2020,King County, WA,US,,,,,,,,
9,Deaths,0.0,1/25/2020,Snohomish County, WA,US,,,,,,,,
10,Deaths,0.0,1/26/2020,King County, WA,US,,,,,,,,
11,Deaths,0.0,1/26/2020,Snohomish County, WA,US,,,,,,,,
12,Deaths,0.0,1/27/2020,King County, WA,US,,,,,,,,
13,Deaths,0.0,1/27/2020,Snohomish County, WA,US,,,,,,,,
14,Deaths,0.0,1/28/2020,King County, WA,US,,,,,,,,
15,Deaths,0.0,1/28/2020,Snohomish County, WA,US,,,,,,,,
16,Deaths,0.0,1/29/2020,King County, WA,US,,,,,,,,
17,Deaths,0.0,1/29/2020,Snohomish County, WA,US,,,,,,,,
18,Deaths,0.0,1/30/2020,King County, WA,US,,,,,,,,
19,Deaths,0.0,1/30/2020,Snohomish County, WA,US,,,,,,,,
20,Deaths,0.0,1/31/2020,King County, WA,US,,,,,,,,
21,Deaths,0.0,1/31/2020,Snohomish County, WA,US,,,,,,,,
22,Deaths,0.0,2/1/2020,King County, WA,US,,,,,,,,
23,Deaths,0.0,2/1/2020,Snohomish County, WA,US,,,,,,,,
24,Deaths,0.0,2/10/2020,King County, WA,US,,,,,,,,
25,Deaths,0.0,2/10/2020,Snohomish County, WA,US,,,,,,,,
26,Deaths,0.0,2/11/2020,King County, WA,US,,,,,,,,
27,Deaths,0.0,2/11/2020,Snohomish County, WA,US,,,,,,,,
28,Deaths,0.0,2/12/2020,King County, WA,US,,,,,,,,
29,Deaths,0.0,2/12/2020,Snohomish County, WA,US,,,,,,,,
30,Deaths,0.0,2/13/2020,King County, WA,US,,,,,,,,
31,Deaths,0.0,2/13/2020,Snohomish County, WA,US,,,,,,,,
32,Deaths,0.0,2/14/2020,King County, WA,US,,,,,,,,
33,Deaths,0.0,2/14/2020,Snohomish County, WA,US,,,,,,,,
34,Deaths,0.0,2/15/2020,King County, WA,US,,,,,,,,
35,Deaths,0.0,2/15/2020,Snohomish County, WA,US,,,,,,,,
36,Deaths,0.0,2/16/2020,King County, WA,US,,,,,,,,
37,Deaths,0.0,2/16/2020,Snohomish County, WA,US,,,,,,,,
38,Deaths,0.0,2/17/2020,King County, WA,US,,,,,,,,
39,Deaths,0.0,2/17/2020,Snohomish County, WA,US,,,,,,,,
40,Deaths,0.0,2/18/2020,King County, WA,US,,,,,,,,
41,Deaths,0.0,2/18/2020,Snohomish County, WA,US,,,,,,,,
42,Deaths,0.0,2/19/2020,King County, WA,US,,,,,,,,
43,Deaths,0.0,2/19/2020,Snohomish County, WA,US,,,,,,,,
44,Deaths,0.0,2/2/2020,King County, WA,US,,,,,,,,
45,Deaths,0.0,2/2/2020,Snohomish County, WA,US,,,,,,,,
46,Deaths,0.0,2/20/2020,King County, WA,US,,,,,,,,
47,Deaths,0.0,2/20/2020,Snohomish County, WA,US,,,,,,,,
48,Deaths,0.0,2/21/2020,King County, WA,US,,,,,,,,
49,Deaths,0.0,2/21/2020,Snohomish County, WA,US,,,,,,,,
50,Deaths,0.0,2/22/2020,King County, WA,US,,,,,,,,
51,Deaths,0.0,2/22/2020,Snohomish County, WA,US,,,,,,,,
52,Deaths,0.0,2/23/2020,King County, WA,US,,,,,,,,
53,Deaths,0.0,2/23/2020,Snohomish County, WA,US,,,,,,,,
54,Deaths,0.0,2/24/2020,King County, WA,US,,,,,,,,
55,Deaths,0.0,2/24/2020,Snohomish County, WA,US,,,,,,,,
56,Deaths,0.0,2/25/2020,King County, WA,US,,,,,,,,
57,Deaths,0.0,2/25/2020,Snohomish County, WA,US,,,,,,,,
58,Deaths,0.0,2/26/2020,King County, WA,US,,,,,,,,
59,Deaths,0.0,2/26/2020,Snohomish County, WA,US,,,,,,,,
60,Deaths,0.0,2/27/2020,King County, WA,US,,,,,,,,
61,Deaths,0.0,2/27/2020,Snohomish County, WA,US,,,,,,,,
62,Deaths,0.0,2/28/2020,King County, WA,US,,,,,,,,
63,Deaths,0.0,2/28/2020,Snohomish County, WA,US,,,,,,,,
64,Deaths,1.0,2/29/2020,King County, WA,US,,,,,,,,
65,Deaths,0.0,2/29/2020,Snohomish County, WA,US,,,,,,,,
66,Deaths,0.0,2/3/2020,King County, WA,US,,,,,,,,
67,Deaths,0.0,2/3/2020,Snohomish County, WA,US,,,,,,,,
68,Deaths,0.0,2/4/2020,King County, WA,US,,,,,,,,
69,Deaths,0.0,2/4/2020,Snohomish County, WA,US,,,,,,,,
70,Deaths,0.0,2/5/2020,King County, WA,US,,,,,,,,
71,Deaths,0.0,2/5/2020,Snohomish County, WA,US,,,,,,,,
72,Deaths,0.0,2/6/2020,King County, WA,US,,,,,,,,
73,Deaths,0.0,2/6/2020,Snohomish County, WA,US,,,,,,,,
74,Deaths,0.0,2/7/2020,King County, WA,US,,,,,,,,
75,Deaths,0.0,2/7/2020,Snohomish County, WA,US,,,,,,,,
76,Deaths,0.0,2/8/2020,King County, WA,US,,,,,,,,
77,Deaths,0.0,2/8/2020,Snohomish County, WA,US,,,,,,,,
78,Deaths,0.0,2/9/2020,King County, WA,US,,,,,,,,
79,Deaths,0.0,2/9/2020,Snohomish County, WA,US,,,,,,,,
80,Deaths,0.0,3/1/2020,King County, WA,US,,,,,,,,
81,Deaths,0.0,3/1/2020,Snohomish County, WA,US,,,,,,,,
82,Deaths,4.0,3/2/2020,King County, WA,US,,,,,,,,
83,Deaths,1.0,3/2/2020,Snohomish County, WA,US,,,,,,,,
84,Deaths,1.0,3/3/2020,King County, WA,US,,,,,,,,
85,Deaths,0.0,3/3/2020,Snohomish County, WA,US,,,,,,,,
86,Recovered,0.0,3/4/2020,King County, WA,US,,,,,,,,
87,Recovered,0.0,3/4/2020,Snohomish County, WA,US,,,,,,,,
88,Recovered,0.0,1/22/2020,King County, WA,US,,,,,,,,
89,Recovered,0.0,1/22/2020,Snohomish County, WA,US,,,,,,,,
90,Recovered,0.0,1/23/2020,King County, WA,US,,,,,,,,
91,Recovered,0.0,1/23/2020,Snohomish County, WA,US,,,,,,,,
